r h1 h2
4.3300000000 0.0081731440 -0.0013967212
4.3400000000 0.0093800044 -0.0014307505
4.3500000000 0.0090388568 -0.0002276221
4.3600000000 0.0094512562 0.0001320460
4.3700000000 0.0090758432 -0.0009106340
4.3800000000 0.0088242995 -0.0014194769
4.3900000000 0.0089607652 -0.0007161685
4.4000000000 0.0080625132 -0.0000605914
4.4100000000 0.0080805190 0.0000596820
4.4200000000 0.0089280037 -0.0004366332
4.4300000000 0.0086101325 0.0005545921
4.4400000000 0.0089819542 -0.0003775843
4.4500000000 0.0091554913 -0.0003813189
4.4600000000 0.0090188322 -0.0008102194
4.4700000000 0.0084657821 -0.0005673108
4.4800000000 0.0087051642 -0.0005361765
4.4900000000 0.0084264262 -0.0009825851
4.5000000000 0.0080653010 -0.0010515738
4.5100000000 0.0064275283 -0.0012151639
4.5200000000 0.0045728405 -0.0004031074
4.5300000000 0.0044365458 -0.0017701430
4.5400000000 0.0032283869 -0.0010715152
4.5500000000 0.0031671933 -0.0024290910
4.5600000000 0.0021785920 -0.0021759083
4.5700000000 0.0029217787 -0.0018272347
4.5800000000 0.0031441942 -0.0007218928
4.5900000000 0.0028938282 -0.0010038436
4.6000000000 0.0027940886 -0.0006747177
4.6100000000 0.0027327161 -0.0009077711
4.6200000000 0.0024119980 -0.0019458071
4.6300000000 0.0024522257 -0.0001011904
4.6400000000 0.0024854529 -0.0003678558
4.6500000000 0.0025460809 -0.0006852662
4.6600000000 0.0021522648 -0.0015561117
4.6700000000 0.0018004777 -0.0020700622
4.6800000000 0.0011797944 -0.0018220010
4.6900000000 0.0018373940 -0.0006249692
4.7000000000 0.0000341601 -0.0006223412
4.7100000000 -0.0004602555 -0.0010342713
4.7200000000 -0.0012616996 -0.0000329099
4.7300000000 -0.0010487092 0.0003465294
4.7400000000 -0.0005404376 0.0004035461
4.7500000000 -0.0016580642 0.0006514148
4.7600000000 -0.0009682248 -0.0009580572
4.7700000000 -0.0009961524 0.0002211032
4.7800000000 -0.0018109484 0.0009458117
