x y1 y2
3.4400000000 0.4165234804 0.9987789437
3.4500000000 0.4435065121 1.0387125930
3.4600000000 0.4752977351 1.0826668225
3.4700000000 0.4638684306 1.0821648519
3.4800000000 0.4581618335 1.0861511425
3.4900000000 0.3564398094 0.9931770331
3.5000000000 0.2322171666 0.8784013788
3.5100000000 0.2246840805 0.8819902029
3.5200000000 0.2075665890 0.8769392240
3.5300000000 0.1062534100 0.7886102520
3.5400000000 -0.0533835440 0.6438798466
3.5500000000 -0.1912512926 0.5242822524
3.5600000000 -0.2304605279 0.5069868348
3.5700000000 -0.3099064664 0.4520863767
3.5800000000 -0.3646081585 0.4243148818
3.5900000000 -0.3085330799 0.5084324577
3.6000000000 -0.3188101017 0.5252013382
3.6100000000 -0.3722560368 0.4972641776
3.6200000000 -0.3110742987 0.5820217678
3.6300000000 -0.2398081744 0.6731310503
3.6400000000 -0.2908515752 0.6373698184
3.6500000000 -0.4122015595 0.5279035804
3.6600000000 -0.5448352527 0.4056119316
3.6700000000 -0.6367591594 0.3240251553
3.6800000000 -0.7446103320 0.2271792782
3.6900000000 -0.8633045401 0.1210670343
3.7000000000 -0.9457496811 0.0532803466
3.7100000000 -0.9931508971 0.0224612833
3.7200000000 -0.9648676189 0.0683353386
3.7300000000 -0.8964390619 0.1535131121
3.7400000000 -0.8395760175 0.2244355165
3.7500000000 -0.8463149137 0.2279914485
3.7600000000 -0.9228276152 0.1583293358
3.7700000000 -1.0132019438 0.0725647941
3.7800000000 -1.1065156917 -0.0172124353
3.7900000000 -1.2171456360 -0.1243120112
3.8000000000 -1.2893598687 -0.1920397672
3.8100000000 -1.2951055477 -0.1923902731
3.8200000000 -1.3056820801 -0.1975062404
3.8300000000 -1.3619456783 -0.2486709542
3.8400000000 -1.4239023752 -0.3056598243
3.8500000000 -1.4478613130 -0.3247083297
3.8600000000 -1.4243391900 -0.2968932924
3.8700000000 -1.3724333054 -0.2424178821
3.8800000000 -1.3340098817 -0.2042599316
3.8900000000 -1.2929886344 -0.1669294790
3.9000000000 -1.2517406310 -0.1332621502
3.9100000000 -1.2940858549 -0.1870244907
3.9200000000 -1.3193264648 -0.2262460220
3.9300000000 -1.2749742725 -0.1980215898
3.9400000000 -1.2369199252 -0.1784972901
3.9500000000 -1.1717711958 -0.1344069408
3.9600000000 -1.0990200806 -0.0856694425
3.9700000000 -1.0420188227 -0.0558237047
3.9800000000 -0.9941922433 -0.0381551255
3.9900000000 -0.9877573141 -0.0644055837
4.0000000000 -0.9933894666 -0.1041880966
4.0100000000 -1.0594385877 -0.2047392062
4.0200000000 -1.2275982823 -0.4056406588
4.0300000000 -1.4325420693 -0.6386765870
4.0400000000 -1.6316779422 -0.8587152155
4.0500000000 -1.7706499810 -1.0099067114
4.0600000000 -1.8788633931 -1.1216900012
4.0700000000 -2.0193884373 -1.2576702684
4.0800000000 -2.1382606950 -1.3642773987
4.0900000000 -2.1789949098 -1.3862331927
4.1000000000 -2.2048683644 -1.3890499779
4.1100000000 -2.2431654560 -1.4020026114
4.1200000000 -2.2606247577 -1.3934988242
4.1300000000 -2.2843595896 -1.3922731992
4.1400000000 -2.2667121394 -1.3519123764
4.1500000000 -2.2389231388 -1.3052815809
4.1600000000 -2.2285581958 -1.2809849420
4.1700000000 -2.2652569797 -1.3091335655
4.1800000000 -2.2958663645 -1.3359948864
4.1900000000 -2.2505661088 -1.2916753037
4.2000000000 -2.1964686892 -1.2438889350
4.2100000000 -2.1483249268 -1.2077551659
4.2200000000 -2.0777404410 -1.1549376004
4.2300000000 -1.9738023557 -1.0747855696
4.2400000000 -1.9294098019 -1.0604011263
4.2500000000 -1.8428061119 -1.0091688418
4.2600000000 -1.7020194141 -0.9092385480
4.2700000000 -1.6025912773 -0.8562854257
4.2800000000 -1.5032488318 -0.8085091260
4.2900000000 -1.4719458800 -0.8330592998
4.3000000000 -1.5009592735 -0.9202517969
4.3100000000 -1.4828551959 -0.9605005114
4.3200000000 -1.3989844991 -0.9342356196
4.3300000000 -1.3441042508 -0.9361927905
4.3400000000 -1.3026416129 -0.9502439714
4.3500000000 -1.2997062813 -1.0010076287
4.3600000000 -1.3449220128 -1.0969353063
4.3700000000 -1.3101046125 -1.1087977412
4.3800000000 -1.2282675536 -1.0701008009
4.3900000000 -1.1655944773 -1.0479238980
4.4000000000 -1.1276082837 -1.0483035059
4.4100000000 -1.1357981553 -1.0927627832
4.4200000000 -1.0782604597 -1.0690519144
4.4300000000 -0.9849792691 -1.0081184814
4.4400000000 -0.8954969640 -0.9504414250
4.4500000000 -0.7895662625 -0.8767367963
4.4600000000 -0.6971468564 -0.8177180655
4.4700000000 -0.5869172792 -0.7425638584
4.4800000000 -0.5118134307 -0.7046514591
4.4900000000 -0.5261227031 -0.7577566979
4.5000000000 -0.5839537865 -0.8542648993
4.5100000000 -0.6579758372 -0.9649739888
4.5200000000 -0.8074903160 -1.1473012011
4.5300000000 -0.9421210790 -1.3085125921
4.5400000000 -1.0349048605 -1.4205300522
4.5500000000 -1.1183533426 -1.5155837314
4.5600000000 -1.2463481454 -1.6477299318
4.5700000000 -1.3693006913 -1.7670360656
4.5800000000 -1.3996739297 -1.7865836807
4.5900000000 -1.4122708468 -1.7830216996
